names,research
"Agostinelli, Forest","Forest Agostinelli's research involves designing new artificial intelligence algorithms
                                 and applying these algorithms to problems in the sciences. Simultaneously, his research
                                 draws upon the sciences to provide inspiration for new artificial intelligence algorithms.|His research interests include:|Deep learning: Neural network architectures, learning activation functions|Reinforcement learning: deep RL, model-based RL|Search: Learning heuristics, large state spaces, theoretical guarantees|Interpretability/Explainability|His application interests include:|Logic: Puzzle solving, theorem proving|Bioinformatics: Circadian rhythms, protein folding|Neuroscience: Hippocampus and memory|High energy physics: Identifying exotic particles|Chemistry: Molecular optimization, retrosynthesis | Artificial Intelligence|Deep Learning|Reinforcement Learning|Heuristic Search|Logic"
"Ahmad, Iftikhar","['Previous position Senior Scientist , Sensor Electronic Technology , Inc . Ph . D . Texas Tech UniversityResearch interests growth and study of ultra wide bandgap semiconductors including high aluminum content AlGaN , boron nitride and gallium oxide , fabrication of novel high power electronic and photonic devices , and computer simulation of these devices']"
"Alexeev, Oleg S.","Catalytic processes on surfaces take place through sequences of elementary reactions
                                    involving adsorbed reactants, products, and reaction intermediates associated with
                                    active sites on the catalyst surface. Our research goals are focused on fundamental
                                    understanding of the structure of the metal-support interface, structures of metal
                                    clusters on supports, and the influence of promoters on the structure and catalytic
                                    properties of supported metal clusters and aggregates. The objectives of our research
                                    program are pursued through an application of a combination of various experimental
                                    methods to the characterization of catalytic materials. Spectroscopic techniques,
                                    including TPD, TPR, FTIR, XPS, HRTEM, XRD, UV-Visible, and EXAFS, are used to characterize
                                    active sites of catalysts and adsorbed species under actual conditions of catalysis.
                                    Considerable information gained from these techniques along with the chemisorption
                                    and catalytic data is used to establish the dependence of catalytic properties on
                                    metal cluster or particle sizes, the structure of active sites, and the structure
                                    of the metal-support interface."
"Ali, Mohammod","Conformal Antennas in Aerospace Applications – broadband, load bearing, reconfigurable
                                    antennas and phased arrays. 3D printing and additive manufacturing of antennas and
                                    RF structures.|Wireless power transfer and wireless sensing in infrastructure – wireless sensor design
                                    using RF/electromagnetic principles, such as interdigitated sensors for dielectrometry
                                    (cable insulation damage detection, moisture variation detection), and surface wave
                                    sensors for time frequency based reflectometry. Near and far field wireless power
                                    transfer for sensors in difficult to reach areas.|Antennas for Mobile Wireless Communications – Multiband or wideband antenna design
                                    for mobile wireless communications for handhelds, wearables, and base stations. Frequency
                                    and pattern reconfigurability, Multiple Input Multiple Output (MIMO), Specific Absorption
                                    Rate (SAR), platform integrated antennas.|Reconfigurable Antennas for mm-Wave – high performance phased array antennas for the
                                    handheld and wireless access points for 5G mm-Wave communications. Antenna design
                                    for Internet of Things (IoT).|Metamaterials and metasurfaces for Antennas and Signals – broadband metamaterials
                                    for conformal aircraft antennas, broadband absorption materials, cross-talk reduction
                                    in printed circuit boards."
"Alshareef, Ahmed A. ","Biomechanics plays an important role in understanding, preventing, and healing injury
                                 and disease in the human body. A fundamental understanding of the mechanics of biological
                                 tissues allows us to employ experimental and computational methods to assess mitigation
                                 strategies, as well as tailor patient-specific surgical and therapeutic interventions.
                                 Our lab's current research is aimed at:|Experimental characterization of biological tissue deformation and mechanics|Multi-physics biomechanics simulations of injury and disease using finite element
                                    models|Biomechanical ‘digital twins’ through patient-specific simulations to inform safety
                                    design and clinical decision-making|Statistical filtering and data-driven reduction methods to supplement sparse data
                                    and improve model prediction"
"Ammal, Salai C.","Heterogeneous Catalysis at Metal-Oxide Interfaces: This research focuses on enhancing our molecular understanding of heterogeneous
                                 catalysis at the three-phase boundary of a gas-phase, a reducible-oxide surface, and
                                 a noble metal cluster. We aim at identifying the unique activity and selectivity of
                                 these bifunctional catalysts for various reactions relevant to energy conversion.|Electrocatalysis in Solid Oxide Fuel Cells: Combined DFT and microkinetic modeling techniques are used to investigate the reaction
                                 kinetics of the electrochemical oxidation of fuels under anodic reaction conditions.
                                 Both, conventional Ni/YSZ cermet and novel perovskite oxides are investigated. Fundamental
                                 understanding of elementary reaction steps and kinetics of electrochemical reactions
                                 will permit the design and discovery of novel materials that are more tolerant to
                                 sulfur and carbon poisoning."
"Ammarell, Karen",Civil and Environmental Engineering
"Austin, Ryan","Systems Manager, Computing Infrastructure Director, Computer Science & Engineering"
"Azhar, Mohamad",Role of TGFbeta ligands in cardiovascular …
"Bailey, Robert",Computer Science and Engineering
