,nsf_proposal_links_v0,skills
0,https://www.nsf.gov/pubs/2026/nsf26000/nsf26000.htm,"{'python', 'optimization', 'deep learning', 'software engineering'}"
1,https://www.nsf.gov/pubs/2026/nsf26001/nsf26001.htm,"{'data science', 'python', 'deep learning', 'natural language processing', 'mechanics', 'environmental science'}"
2,https://www.nsf.gov/pubs/2026/nsf26002/nsf26002.htm,"{'structural health monitoring', 'machine learning', 'optimization', 'cognitive science'}"
3,https://www.nsf.gov/pubs/2026/nsf26003/nsf26003.htm,"{'graph theory', 'material science', 'embedded systems', 'cybersecurity'}"
4,https://www.nsf.gov/pubs/2026/nsf26004/nsf26004.htm,"{'structural health monitoring', 'embedded systems', 'psychology', 'cognitive science'}"
5,https://www.nsf.gov/pubs/2026/nsf26005/nsf26005.htm,"{'logistics', 'biology', 'project management'}"
6,https://www.nsf.gov/pubs/2026/nsf26006/nsf26006.htm,"{'iot', 'fuel cells', 'cybersecurity', 'neuroscience'}"
7,https://www.nsf.gov/pubs/2026/nsf26007/nsf26007.htm,"{'sustainability', 'cybersecurity'}"
8,https://www.nsf.gov/pubs/2026/nsf26008/nsf26008.htm,"{'solar energy', 'natural language processing', 'applied mathematics', 'electrical engineering', 'environmental science', 'genetics', 'artificial intelligence', 'education'}"
9,https://www.nsf.gov/pubs/2026/nsf26009/nsf26009.htm,"{'python', 'deep learning', 'computer vision', 'bioinformatics', 'curriculum development', 'project management', 'thermodynamics', 'genetics'}"
10,https://www.nsf.gov/pubs/2026/nsf26010/nsf26010.htm,"{'applied mathematics', 'supply chain'}"
11,https://www.nsf.gov/pubs/2026/nsf26011/nsf26011.htm,"{'battery technology', 'nanotechnology', 'sustainability'}"
12,https://www.nsf.gov/pubs/2026/nsf26012/nsf26012.htm,"{'bioinformatics', 'blockchain', 'supply chain', 'cybersecurity', 'genetics', 'human computer interaction', 'economics'}"
13,https://www.nsf.gov/pubs/2026/nsf26013/nsf26013.htm,"{'engineering education', 'robotics', 'blockchain', 'human computer interaction', 'mathematics', 'economics', 'civil engineering'}"
14,https://www.nsf.gov/pubs/2026/nsf26014/nsf26014.htm,"{'geotechnical engineering', 'pedagogy', 'wireless communication', 'deep learning', 'thermodynamics', 'biophysics', 'renewable energy', 'civil engineering'}"
15,https://www.nsf.gov/pubs/2026/nsf26015/nsf26015.htm,"{'ceramics', 'pedagogy', 'engineering education', 'project management', 'nanotechnology', 'electrical engineering', 'human computer interaction'}"
16,https://www.nsf.gov/pubs/2026/nsf26016/nsf26016.htm,"{'graph theory', 'genetics'}"
17,https://www.nsf.gov/pubs/2026/nsf26017/nsf26017.htm,"{'system security', 'machine learning', 'curriculum development', 'sustainability', 'biology', 'genetics'}"
18,https://www.nsf.gov/pubs/2026/nsf26018/nsf26018.htm,"{'solar energy', 'python', 'optimization', 'system security', 'fluid dynamics', 'sustainability', 'environmental science', 'high performance computing'}"
19,https://www.nsf.gov/pubs/2026/nsf26019/nsf26019.htm,"{'mechanics', 'computer vision'}"
20,https://www.nsf.gov/pubs/2026/nsf26020/nsf26020.htm,"{'thermodynamics', 'mathematics', 'bioinformatics'}"
21,https://www.nsf.gov/pubs/2026/nsf26021/nsf26021.htm,"{'quantum computing', 'software engineering'}"
22,https://www.nsf.gov/pubs/2026/nsf26022/nsf26022.htm,"{'structural health monitoring', 'python', 'statistics', 'chemical engineering'}"
23,https://www.nsf.gov/pubs/2026/nsf26023/nsf26023.htm,"{'computer vision', 'natural language processing', 'cognitive science', 'battery technology', 'physics', 'applied mathematics', 'human computer interaction'}"
24,https://www.nsf.gov/pubs/2026/nsf26024/nsf26024.htm,"{'chemistry', 'applied mathematics', 'mathematics', 'economics', 'biophysics'}"
25,https://www.nsf.gov/pubs/2026/nsf26025/nsf26025.htm,"{'geotechnical engineering', 'deep learning', 'system security', 'thermodynamics', 'embedded systems', 'renewable energy'}"
26,https://www.nsf.gov/pubs/2026/nsf26026/nsf26026.htm,"{'pedagogy', 'nuclear engineering', 'project management', 'renewable energy', 'biophysics'}"
27,https://www.nsf.gov/pubs/2026/nsf26027/nsf26027.htm,"{'geotechnical engineering', 'pedagogy', 'applied mathematics', 'cybersecurity', 'renewable energy'}"
28,https://www.nsf.gov/pubs/2026/nsf26028/nsf26028.htm,"{'geotechnical engineering', 'python', 'iot', 'project management'}"
29,https://www.nsf.gov/pubs/2026/nsf26029/nsf26029.htm,"{'deep learning', 'battery technology', 'physics', 'project management', 'applied mathematics', 'robotics'}"
30,https://www.nsf.gov/pubs/2026/nsf26030/nsf26030.htm,"{'data science', 'ceramics', 'optimization', 'environmental science', 'neuroscience', 'economics'}"
31,https://www.nsf.gov/pubs/2026/nsf26031/nsf26031.htm,"{'machine learning', 'biology', 'thermodynamics', 'genetics', 'ecology', 'high performance computing', 'renewable energy'}"
32,https://www.nsf.gov/pubs/2026/nsf26032/nsf26032.htm,"{'statistics', 'software engineering', 'bioinformatics', 'embedded systems', 'renewable energy'}"
33,https://www.nsf.gov/pubs/2026/nsf26033/nsf26033.htm,"{'solar energy', 'electrical engineering', 'computer vision'}"
34,https://www.nsf.gov/pubs/2026/nsf26034/nsf26034.htm,"{'cloud computing', 'python', 'computer vision', 'applied mathematics', 'ecology', 'structural health monitoring', 'economics'}"
35,https://www.nsf.gov/pubs/2026/nsf26035/nsf26035.htm,"{'python', 'nuclear engineering', 'biology', 'psychology', 'chemical engineering'}"
36,https://www.nsf.gov/pubs/2026/nsf26036/nsf26036.htm,"{'material science', 'wireless communication', 'embedded systems', 'human computer interaction', 'civil engineering'}"
37,https://www.nsf.gov/pubs/2026/nsf26037/nsf26037.htm,"{'mechanics', 'civil engineering'}"
38,https://www.nsf.gov/pubs/2026/nsf26038/nsf26038.htm,"{'system security', 'natural language processing', 'chemistry', 'nanotechnology', 'logistics', 'neuroscience'}"
39,https://www.nsf.gov/pubs/2026/nsf26039/nsf26039.htm,"{'cloud computing', 'deep learning', 'computer vision', 'genetics'}"
40,https://www.nsf.gov/pubs/2026/nsf26040/nsf26040.htm,"{'software engineering', 'mechanics', 'curriculum development', 'nanotechnology', 'genetics'}"
41,https://www.nsf.gov/pubs/2026/nsf26041/nsf26041.htm,"{'engineering education', 'human computer interaction'}"
42,https://www.nsf.gov/pubs/2026/nsf26042/nsf26042.htm,"{'data science', 'geotechnical engineering', 'sustainability', 'environmental science', 'mathematics'}"
43,https://www.nsf.gov/pubs/2026/nsf26043/nsf26043.htm,"{'data science', 'solar energy', 'optimization', 'natural language processing', 'nanotechnology'}"
44,https://www.nsf.gov/pubs/2026/nsf26044/nsf26044.htm,"{'applied mathematics', 'cognitive science'}"
45,https://www.nsf.gov/pubs/2026/nsf26045/nsf26045.htm,"{'python', 'quantum computing', 'wireless communication', 'curriculum development', 'physics', 'genetics', 'chemical engineering'}"
46,https://www.nsf.gov/pubs/2026/nsf26046/nsf26046.htm,"{'embedded systems', 'quantum computing'}"
47,https://www.nsf.gov/pubs/2026/nsf26047/nsf26047.htm,"{'solar energy', 'fluid dynamics'}"
48,https://www.nsf.gov/pubs/2026/nsf26048/nsf26048.htm,"{'solar energy', 'business', 'physics', 'nanotechnology', 'robotics', 'blockchain', 'iot'}"
49,https://www.nsf.gov/pubs/2026/nsf26049/nsf26049.htm,"{'data science', 'python', 'climate change'}"
50,https://www.nsf.gov/pubs/2026/nsf26050/nsf26050.htm,"{'fluid dynamics', 'cognitive science', 'bioinformatics', 'graph theory', 'civil engineering'}"
51,https://www.nsf.gov/pubs/2026/nsf26051/nsf26051.htm,"{'structural health monitoring', 'iot', 'applied mathematics'}"
52,https://www.nsf.gov/pubs/2026/nsf26052/nsf26052.htm,"{'cloud computing', 'natural language processing', 'bioinformatics', 'logistics', 'environmental science'}"
53,https://www.nsf.gov/pubs/2026/nsf26053/nsf26053.htm,"{'wireless communication', 'software engineering', 'nuclear engineering', 'logistics', 'electrical engineering', 'ecology', 'structural health monitoring'}"
54,https://www.nsf.gov/pubs/2026/nsf26054/nsf26054.htm,"{'environmental science', 'high performance computing'}"
55,https://www.nsf.gov/pubs/2026/nsf26055/nsf26055.htm,"{'material science', 'pedagogy', 'statistics', 'business', 'psychology', 'education'}"
56,https://www.nsf.gov/pubs/2026/nsf26056/nsf26056.htm,"{'ecology', 'mechanics', 'business'}"
57,https://www.nsf.gov/pubs/2026/nsf26057/nsf26057.htm,"{'optimization', 'mechanics', 'machine learning', 'neuroscience', 'genetics', 'ecology', 'psychology'}"
58,https://www.nsf.gov/pubs/2026/nsf26058/nsf26058.htm,"{'solar energy', 'system security', 'mechanics', 'genetics', 'mathematics'}"
59,https://www.nsf.gov/pubs/2026/nsf26059/nsf26059.htm,"{'environmental science', 'optimization'}"
60,https://www.nsf.gov/pubs/2026/nsf26060/nsf26060.htm,"{'climate change', 'machine learning', 'physics', 'robotics', 'blockchain', 'iot', 'psychology'}"
61,https://www.nsf.gov/pubs/2026/nsf26061/nsf26061.htm,"{'deep learning', 'curriculum development', 'graph theory', 'biology', 'nanotechnology', 'robotics', 'education', 'biophysics'}"
62,https://www.nsf.gov/pubs/2026/nsf26062/nsf26062.htm,"{'material science', 'cloud computing', 'optimization', 'bioinformatics', 'logistics', 'human computer interaction', 'iot'}"
63,https://www.nsf.gov/pubs/2026/nsf26063/nsf26063.htm,"{'material science', 'project management', 'graph theory', 'nanotechnology', 'electrical engineering', 'structural health monitoring'}"
64,https://www.nsf.gov/pubs/2026/nsf26064/nsf26064.htm,"{'geotechnical engineering', 'machine learning', 'graph theory', 'applied mathematics', 'ecology', 'artificial intelligence'}"
65,https://www.nsf.gov/pubs/2026/nsf26065/nsf26065.htm,"{'ecology', 'fuel cells', 'cybersecurity', 'fluid dynamics'}"
66,https://www.nsf.gov/pubs/2026/nsf26066/nsf26066.htm,"{'system security', 'computer vision', 'chemistry', 'logistics', 'fuel cells', 'structural health monitoring', 'iot', 'economics'}"
67,https://www.nsf.gov/pubs/2026/nsf26067/nsf26067.htm,"{'blockchain', 'cloud computing', 'wireless communication', 'climate change'}"
68,https://www.nsf.gov/pubs/2026/nsf26068/nsf26068.htm,"{'geotechnical engineering', 'computer vision', 'wireless communication', 'chemistry', 'applied mathematics', 'mathematics', 'chemical engineering', 'civil engineering'}"
69,https://www.nsf.gov/pubs/2026/nsf26069/nsf26069.htm,"{'cloud computing', 'wireless communication', 'engineering education', 'bioinformatics', 'electrical engineering', 'thermodynamics'}"
70,https://www.nsf.gov/pubs/2026/nsf26070/nsf26070.htm,"{'pedagogy', 'business', 'wireless communication', 'curriculum development', 'project management', 'graph theory', 'logistics', 'thermodynamics'}"
71,https://www.nsf.gov/pubs/2026/nsf26071/nsf26071.htm,"{'python', 'optimization', 'climate change', 'sustainability', 'graph theory', 'biology', 'artificial intelligence', 'economics'}"
72,https://www.nsf.gov/pubs/2026/nsf26072/nsf26072.htm,"{'system security', 'iot', 'cognitive science', 'biology', 'neuroscience', 'mathematics'}"
73,https://www.nsf.gov/pubs/2026/nsf26073/nsf26073.htm,"{'cloud computing', 'curriculum development', 'biology', 'robotics', 'cybersecurity', 'mathematics'}"
74,https://www.nsf.gov/pubs/2026/nsf26074/nsf26074.htm,"{'business', 'deep learning', 'sustainability', 'thermodynamics', 'iot', 'renewable energy'}"
75,https://www.nsf.gov/pubs/2026/nsf26075/nsf26075.htm,"{'human computer interaction', 'polymers', 'computer vision'}"
76,https://www.nsf.gov/pubs/2026/nsf26076/nsf26076.htm,"{'material science', 'natural language processing', 'chemistry', 'graph theory', 'electrical engineering', 'renewable energy'}"
77,https://www.nsf.gov/pubs/2026/nsf26077/nsf26077.htm,"{'graph theory', 'environmental science', 'nuclear engineering', 'computer vision'}"
78,https://www.nsf.gov/pubs/2026/nsf26078/nsf26078.htm,"{'nuclear engineering', 'environmental science', 'supply chain', 'ecology', 'economics'}"
79,https://www.nsf.gov/pubs/2026/nsf26079/nsf26079.htm,"{'geotechnical engineering', 'machine learning', 'applied mathematics', 'embedded systems', 'environmental science', 'polymers', 'cybersecurity'}"
80,https://www.nsf.gov/pubs/2026/nsf26080/nsf26080.htm,"{'battery technology', 'business', 'quantum computing', 'physics'}"
81,https://www.nsf.gov/pubs/2026/nsf26081/nsf26081.htm,"{'nuclear engineering', 'environmental science', 'fuel cells', 'climate change'}"
82,https://www.nsf.gov/pubs/2026/nsf26082/nsf26082.htm,"{'ceramics', 'machine learning', 'nuclear engineering', 'project management', 'fuel cells'}"
83,https://www.nsf.gov/pubs/2026/nsf26083/nsf26083.htm,"{'deep learning', 'machine learning', 'environmental science', 'genetics', 'artificial intelligence'}"
84,https://www.nsf.gov/pubs/2026/nsf26084/nsf26084.htm,"{'ecology', 'neuroscience', 'blockchain', 'climate change'}"
85,https://www.nsf.gov/pubs/2026/nsf26085/nsf26085.htm,"{'ceramics', 'wireless communication', 'software engineering', 'mechanics', 'bioinformatics', 'civil engineering'}"
86,https://www.nsf.gov/pubs/2026/nsf26086/nsf26086.htm,"{'material science', 'pedagogy', 'optimization', 'graph theory', 'embedded systems', 'economics'}"
87,https://www.nsf.gov/pubs/2026/nsf26087/nsf26087.htm,"{'data science', 'wireless communication', 'software engineering', 'curriculum development', 'sustainability', 'electrical engineering', 'mathematics', 'biophysics'}"
88,https://www.nsf.gov/pubs/2026/nsf26088/nsf26088.htm,"{'wireless communication', 'mechanics', 'bioinformatics', 'embedded systems', 'fuel cells', 'blockchain', 'chemical engineering'}"
